championName,riotIdGameName,riotIdTagline,summoner1Id,summoner2Id,deaths,kills,assists,champExperience,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,damageDealtToBuildings,damageDealtToObjectives,turretKills,inhibitorKills,visionScore,wardsPlaced,wardsKilled,goldEarned,goldSpent,earlyLaningPhaseGoldExpAdvantage,firstBloodAssist,firstBloodKill,gameEndedInEarlySurrender,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,objectivesStolen,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,quadraKills,tripleKills,doubleKills,baronKills,bountyLevel,alliedJungleMonsterKills,baronTakedowns,buffsStolen,controlWardsPlaced,damagePerMinute,dragonTakedowns,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,gameLength,goldPerMinute,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kda,killAfterHiddenWithAlly,killParticipation,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsUnderOwnTurret,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laningPhaseGoldExpAdvantage,riftHeraldTakedowns,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedowns,takedownsBeforeJungleMinionSpawn,takedownsInAlcove,teamBaronKills,teamDamagePercentage,teamRiftHeraldKills,turretTakedowns,voidMonsterKill,win,teamId
Nocturne,NaturePhotonics,2802,11,4,5,8,20,21031,393837,32117,56838,1483,51814,1,0,26,14,0,15121,14450,0.0,True,False,False,4,2,1018,0,164,18,0,1029,251,0,0,1,0,8,117,1,1,5,915.390419942713,2,10,18,0,1,0,2105.199583988,430.973315143488,6,2,1,86.00000011920929,0,5.6,1,0.6829268292682927,0,,1,0,1,1.0,0,2,0,2,28,1,0,1,0.22518396472626212,1,2,7,True,100
Viego,TwitchTvDarhxe,Kurd,4,11,9,2,12,16646,253050,22779,51292,0,7146,0,0,38,13,6,12598,11883,0.0,False,False,False,0,1,461,0,129,2,0,288,315,0,0,0,0,2,93,0,0,0,649.2326277318374,2,18,1,0,1,0,2105.199583988,359.0728802506304,6,2,1,67.75000008940697,0,1.5555555555555556,4,0.7368421052631579,1,,0,2,0,0.0,0,1,0,0,14,0,0,0,0.14518272110945316,0,0,0,False,200
Vi,Zigma,7144,4,11,5,6,10,16691,291635,20448,48925,861,50488,0,0,38,9,7,12488,11750,0.0,False,False,False,3,1,767,0,133,10,0,333,165,0,0,0,0,6,87,0,0,7,620.694902645263,3,72,13,1,1,0,1976.6704892310001,379.0757418161078,14,2,1,67.80000007152557,0,3.2,1,0.5517241379310345,3,,1,11,0,0.0,1,1,0,2,16,0,0,0,0.1679437369987334,1,1,7,False,100
Nocturne,NaturePhotonics,2802,11,4,9,5,19,15998,249452,21576,51588,387,16045,1,0,27,11,7,12604,11525,0.0,False,False,False,2,2,374,0,127,13,0,599,272,0,0,1,1,5,88,1,0,3,654.9421817473233,1,10,14,0,0,0,1976.6704892310001,382.5990967489066,7,2,1,52.300000101327896,1,2.6666666666666665,3,0.6486486486486487,2,,0,0,7,0.0,0,0,0,4,24,0,0,1,0.15714695940844675,0,1,1,True,200
Shaco,TTV eaturbanhmi,4515,11,14,6,7,16,16120,228450,18948,32866,1379,24545,0,0,24,2,7,13033,11500,0.0,False,False,False,3,1,1026,1,95,28,0,628,135,0,0,0,1,7,75,1,0,2,529.3372063809967,3,36,16,1,0,1,2147.7646102430003,364.0981444826601,1,2,0,52.50000011920929,0,3.8333333333333335,2,0.696969696969697,0,,0,0,0,0.0,0,0,1,6,23,0,0,1,0.13334063892211953,0,4,1,True,100
Nocturne,NaturePhotonics,2802,11,4,5,7,9,18526,354549,22550,51659,2866,47730,2,0,32,14,4,15011,13950,0.0,False,False,False,4,2,845,0,126,48,0,892,97,0,0,1,0,7,83,0,4,4,629.9737802607317,3,13,26,0,1,0,2147.7646102430003,419.3482306054937,7,2,2,61.500000059604645,0,3.2,0,0.64,2,,0,0,9,1.0,1,1,0,10,16,0,0,0,0.18650256283284453,1,4,7,False,200
Lillia,소년가장 원딜,클로버,11,4,7,3,4,11230,201450,11665,36463,0,22578,0,0,18,5,3,8509,8325,0.0,False,False,False,0,1,327,0,94,11,0,151,183,0,0,0,0,3,68,0,0,3,483.5223955668273,0,7,16,0,0,0,1447.5158432,352.72577826507757,1,1,1,67.60000014305115,0,1.0,0,0.3684210526315789,2,,0,0,0,0.0,0,1,0,2,7,0,0,0,0.2067489589764543,0,0,4,False,100
Nocturne,NaturePhotonics,2802,11,4,4,3,10,11411,186589,12666,28147,3951,34481,1,0,19,6,2,9580,8525,0.0,False,True,False,0,1,448,0,78,25,0,552,88,0,0,0,0,3,58,0,4,3,525.0352993597548,3,5,10,0,1,0,1447.5158432,397.1149459134638,3,3,1,48.90000006556511,0,3.25,3,0.38235294117647056,2,,0,0,4,0.0,1,0,0,0,13,0,0,0,0.1413472354018375,1,3,3,True,200
Udyr,Dtownkidz,NA1,4,11,5,6,5,8996,131822,13797,19956,0,15868,0,0,33,6,6,8769,7850,0.0,False,False,False,3,2,691,0,61,16,0,1115,121,0,0,1,0,6,41,0,2,3,678.2462858471883,1,14,4,0,1,0,1220.6124192920001,431.0577262254048,6,2,2,62.000000059604645,0,2.2,2,0.6470588235294118,2,,0,0,0,0.0,0,3,0,0,11,0,1,0,0.24316630278555737,0,0,4,False,100
Nocturne,NaturePhotonics,2802,11,4,4,8,5,10353,156437,15440,28343,4355,24072,0,0,12,5,1,9231,9150,0.0,False,False,False,6,1,619,0,71,20,0,379,83,0,0,0,0,8,50,0,1,2,758.9971661314653,2,14,12,1,1,0,1220.6124192920001,453.79984810415107,9,2,0,56.00000011920929,0,3.25,0,0.43333333333333335,4,,0,0,2,0.0,1,0,0,3,13,0,0,0,0.21424082835755603,1,1,3,True,200
