championName,Agressividade,Controle de Mapa,Eficiência de Recursos,Pressão em Estruturas,Sustentação e Sobrevivência,Impacto Utilitário,Impacto no Early Game,Controle de Objetivos
Pantheon,0.3682486945387213,0.2910860943875108,0.3858248035937559,0.22537027466428558,0.0923367001524813,0.21472365297284454,0.36548430382706276,0.2963799246958618
Poppy,0.22420954650677785,0.4313229656007302,0.312041094399902,0.2437672482664384,0.006245554354013083,0.49148358039879875,0.3211688214036952,0.37750163188171937
Rammus,0.18862375805796294,0.3072055255530967,0.17232620998700388,0.2550387188161288,0.38014189008758653,0.5351130278756553,0.013739478198071834,0.37460818653401057
RekSai,0.35317948422474915,0.2769161311037096,0.3276840010096064,0.3433637291877979,0.30682359909372403,0.26081793977628354,0.14955804997637068,0.2701898961018417
Rengar,0.4770817005512038,0.2116522333915391,0.733171039192756,0.5259644146401644,-0.14653804325685615,0.07340346044029634,0.5682404282499015,0.2000897477151595
Sejuani,0.18977891922942042,0.44110841910831694,0.22817087545014383,0.3405727093126472,0.38352398138094396,0.2543322171708116,0.1147211008050758,0.5139207105502209
Shaco,0.3635387335694259,0.42496305132926504,0.5246597389212638,0.31358390777995915,0.03196994951657045,0.18626589992932824,0.4568521881495952,0.47437485899319826
Shyvana,0.24189559944516237,0.675357482408755,0.83184206525511,0.7844561336431297,0.18374443433517235,0.108680288324369,0.28102569143799466,0.8455387969828367
Skarner,0.2786281102837192,0.21858694482796037,0.17142644321263065,0.16685962561111697,0.2524204584043586,0.24614392900183266,0.16917783992741078,0.2000341745452438
Taliyah,0.42886929419499054,0.296917835964063,0.5215351697204357,0.2735994683916173,-0.2268518517809528,0.5217240910587141,0.36959304279765687,0.31054497265536046
Talon,0.5122383634851118,0.30821968192285526,0.7838666134800294,0.249249982926653,-0.02367110803176309,0.08941935114499933,0.4744273779277696,0.34567259700188746
Udyr,0.29464822197245616,0.3100222947115501,0.6799759826962786,0.502507032127127,0.3586585847535933,0.3684522815950871,0.618977847803082,0.47774710924837677
Vi,0.22685233463606544,0.3734566508208783,0.3847539955026555,0.2529859244782291,0.07177223659423299,0.48162099415962983,0.13269552876836094,0.30126639935120564
Viego,0.38229695913007805,0.3315942012711512,0.5477500312272922,0.364789681758147,0.00540561132784767,0.21606049387209367,0.35037987111971086,0.3610201497236603
Volibear,0.2571361026696201,0.25727915101724197,0.577270830804968,0.3903360840570108,0.17861295626413815,0.25541592374390276,0.23418447278787316,0.3392284523639869
Warwick,0.3572144075243154,0.28167735614882655,0.3434807112586356,0.2706367856646509,-0.10609245557488434,0.244141786303874,0.16551372701217384,0.3512359329641385
XinZhao,0.2880488333581577,0.2805813551222081,0.38129496039538446,0.3581783727861255,0.05553341619456864,0.2085479052325372,0.2960408766948223,0.30807802320406913
Yorick,0.17948182557415115,0.3448546157939016,0.4241693096871651,0.7692925998082222,0.09124157178049996,0.0794579772099675,0.1658416169417775,0.4259860923821091
Zac,0.28312764574335864,0.29660931744906854,0.2544072018084901,0.20211255039564077,0.5563720569556332,0.6129365198116767,0.0816124048550569,0.3531266061033696
Zed,0.3857500015073101,0.34401110919671696,0.6895049732421242,0.20543783374880578,-0.027475225545651627,0.06286147586593263,0.3986616564013841,0.3116318323976425
Zyra,0.24845815378785996,0.34006011643578177,0.6961349108178349,0.3192748166874731,-0.0305184200079201,0.22967561834034375,0.5876777257302478,0.3497558216744422
