Name,Tag,Server,Region,puuid,Key_ID
Odjebiesiezaraz,12340,eune,europe,-aprH9s96OoCc7M95sqC2uYGRF9Npi0lY2gbWQ9IxCV9xzYxjHoDHHtD4Dx6YNbGwUmKsUeshQ92Nw,9
GargantuanPPMan,EUW,euw,europe,0HXNOZ0L29-ak3WQYhlDPPTsRsTaW5KKRb4K8oQxVq7qNi8BwBbrG0h6PjobXQOF4m7dU6DMXHfJyQ,9
Samallok,0001,br,americas,puUVzFzN94yB44B1q_mKTmVCoHx45GBrZw65cFf-y3ItzMU4HMMLqQuXMrDvBR_-VJMHUDVLjV1O9Q,9
Gluttony,Tony,eune,europe,J8wc5ZGtKhvMitt1zPvghjE9rPupbqJ6V38l4M1HG6uyatcyo2hMHCJDh7OtGL2ZbSAW9A7e2fov_Q,9
zurky,LAN,lan,americas,bfXSQimLG3cy_bslhxSmPRvjQY7VtJoKmtX3ZK4ncOU0hbTdsNETyVclxjnwA0TBaXwEtnXN15QOMA,9
TuranKing,TR1,tr,europe,iVtIjzsDMF9M0fLq2NjRM_OOEuvBTHceVwNlVrgy8AKJS1uWpvyGqMO_camuboieWNru15bwXfOcTA,9
PEPE ARGENTO,0000,las,americas,UgxoLj4fnAioONcORymo-_4LWVG76L-eJiy4zM6qGY0b1mSM5L7xB9vhiT_9dxx4QiPgKrEIugukhw,9
Asta,TR118,tr,europe,NkR191-m1wBBMKK8LRnwDhVnvGJcVMGTtQbT_XC-4bK2zB3if4lkLfjmGd4SevKJt_7-rL5fcUEBIg,9
Clunderson,NA1,na,americas,g_3aYUM6aMk4e4uk4tYDW8k5rN1KCrpVOqflgc33PRDfKAfQNDWe2bJQCynjJhVaEdIGkT6sKGr1hA,9
99872843del,KR1,kr,asia,bb3nTA_6ewjcgpUYFdAX-hngS4jvloCIXdsRr7OIA_99XvAQII9--qkhtQl9m6NbqoUEX1hawsMOCw,9
Bobo,9132,euw,europe,VOnFWjrUu-2Vhllq2NBVFU8DzXTkBhQs1hA1axVj9N8Mvh54F_Rqgs1LYDEUYN8Jz4po2iBx1XA1Lg,9
