Name,Tag,Server,Region,puuid,Key_ID
Xiao Tai Mei,OvO,na,americas,snnTTay0pr5CK7cUw2AeWvGW6AmQoVgukO7jbCf_hAmiN8TWUa4PIPQuFJvYkaKh84cRkCgZ2lcNKw,3
twtv nickich,1336,eune,europe,XRJlhHsjehRjUQvacT6ZP3ptMRmpGAY0-Sf20LaHYynpLouRMazVgDSU69Uv0AfrNULXmVljY5ga8A,3
better jg wins,RJ1,br,americas,7Dy0rkByOdqfU497UNW0PLCcrvgYKUPGaIuP-lfZmcHkiGQpIQI4AyDn6S2GSLu-BCkb2PRQ_P1AbA,3
Zeth,T1z,las,americas,6uE26GuEnkPC_5vG-qGMNB7wCfrVx_rjo0IJwSpA_VeTG6dH0F2d-R77Du_z5ICh7iDedJ2-kffVsA,3
Murasaki,euw2,euw,europe,Tu5JnEEJEADBG83HrDGQigvetyHNl6zxgwVbBetdFlEvphFBJHgcGcTHixNzyyLSFqfgUj70-RuaWg,3
Solomon,xyi,na,americas,tdYnox6QD5eRbxkxRS2Ttv43qRZxRKMqz6O_2d94fmzO7u49H5fmuLY5M9gfvj1jb8y8GWWglg6jaA,3
Zectifyz,EUW,euw,europe,p8WiszsMPPQQMUFaXl-VXs1xa_e1R6xDLhuvUibpy2GUoVS3M78LRCBfMNQvmy-oE3xZp1oNmgLLfg,3
Der Sonderbare,EUW,euw,europe,ud20yfH0__8s08vhhWf31zQHeISeT-JQLVVFpm5JXaAcHIFE5QOsN76VhNNm3gmsoBYHFi5lNRWyrA,3
mistiQ,1221,euw,europe,ZP3YmalMSbrYxKCjekNZWwaZ5bcotXGNMSrLIuKod4p3xdVR29rnt9SKNLRlzCNX11o-euRE3ReFPA,3
severity seeker,EUW,euw,europe,G368IWfpMBEHwlpFoUh6HklIRs5h-Ta7WqgdhIa2_N5WUurWSq-ZBnCO_EoIDPnaCD2z76fq6mi5nA,3
Cacauzinha,Hey,br,americas,m7HYUnPOYkdNI5VY6JsZzT7yYi3hH7xQMvp3Jvb6vuarYs_BP00NjaTMCkK0T9wiLuXK94Ss63RXAg,3
SmoKePaaF,ZWM,eune,europe,jTuAR6UN1aQsIJlBmwk4dWwQeEdB69cqj7OtVizEC8HefZFDd3O0SfaXMBeHXdd9WSJX3Q0TPOZSeQ,3
balikci337,337,tr,europe,ZzgJUAB7B8mZCMv4cVunj7SU3xfK7DxhnaZYPYfCFz-lxScFiReAemMu2xWkPh5Jlbm01eCEIvtMOQ,3
Spriteboy56,EUW,euw,europe,pRdY8P4uWjU-p_qU_tJc2sJ5SYQ0vmeXeNkN0NNy3XlshEgdCmE7fRt_I6STZsU5nw_nVoZ3NO1npg,3
Hot blooded,sunny,na,americas,d7PiFkF4FmZs3GSDXWb9e3suCM8ZVV0LScim0QLT-h8e89Vg94lCQzMWB8ziTFvlhO-yYrksDet8dg,3
Dark,Zix,kr,asia,PsKbZF7RFBu1UipQe8Wz5CO4jFOWs4qbvHQWinDc9JmV0xbL5atXWIIqTnHgvSHh6F9rWJ6ewEXNUQ,3
Ciefimo,EUW,euw,europe,Wyb34fZR3tY9tDvMJQS3YIklv4b6VjsAuZjnS21Ldq0_ZZsv3DBsEKGrjO9AuSl6cDIJrg-niUGQNQ,3
stonad,ouj,kr,asia,I9vTQxV3d_qtUyTfGXZBNbI4I5mz_U30Yv4RGjQNx61UvM0SaJIVjZMISNCIe-AzSvbIdClo6l5yiw,3
Kha Rol,L60,eune,europe,PwSg0Yt9BdHDyA9pQVWhdwM7YPnW43lbWgC9JKCHhk-wmPOICO4KE-mYlBLyVy2G9q8qZcwKxzrAgw,3
I Jano I,LAN,lan,americas,96PskX-Pl2xWPFx4uox3t3gu40QHXsfklrnLg4UWLql5h38eJ2fti7Jh0ofnFdGd52eHmNnTGP2R8A,3
